epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.96751,1.53758,3.46326,1.90505,0.00641,0.76923,0.26189,0.14442,1.45008,3.80156,2.32407,0,0,0
2,6.769,1.45518,3.32058,1.6753,0.00658,0.76923,0.26357,0.15173,1.43354,3.80566,2.28435,1.6505e-05,1.6505e-05,1.6505e-05
3,9.65366,1.47014,3.34796,1.8906,0.00675,0.76923,0.27915,0.16171,1.3948,3.78118,2.21742,3.26799e-05,3.26799e-05,3.26799e-05
4,12.4387,1.56194,3.21724,1.73616,0.00761,0.84615,0.31891,0.17862,1.35664,3.73119,2.13849,4.85247e-05,4.85247e-05,4.85247e-05
5,15.1357,1.4368,3.59092,1.76863,0.00759,0.84615,0.38091,0.20777,1.31504,3.72134,2.04584,6.40395e-05,6.40395e-05,6.40395e-05
6,17.7938,1.42872,3.50303,1.59268,0.00834,0.92308,0.42921,0.21534,1.26976,3.72509,1.93782,7.92242e-05,7.92242e-05,7.92242e-05
7,20.3809,1.22695,3.15329,1.53254,0.00763,0.84615,0.41371,0.24566,1.222,3.68065,1.81438,9.40788e-05,9.40788e-05,9.40788e-05
8,23.1173,1.01918,3.22746,1.46445,0.00762,0.84615,0.44866,0.26557,1.13282,3.66188,1.71127,0.000108603,0.000108603,0.000108603
9,25.8535,1.01054,3.2653,1.38126,0.00903,1,0.53964,0.3223,1.05761,3.61743,1.64852,0.000122798,0.000122798,0.000122798
10,28.8625,1.16061,3.3472,1.51405,0.00886,1,0.53203,0.32866,1.0221,3.56085,1.54323,0.000136662,0.000136662,0.000136662
11,31.3645,0.9808,3.00837,1.3953,0.00823,0.92308,0.48567,0.30249,0.99973,3.51948,1.50867,0.000150197,0.000150197,0.000150197
12,34.0016,0.92817,3.10065,1.39373,0.0081,0.92308,0.45658,0.28033,1.00024,3.54703,1.4839,0.000163401,0.000163401,0.000163401
13,36.5837,1.03041,3.01408,1.38492,0.00811,0.92308,0.37499,0.21203,0.99729,3.53604,1.44884,0.000176275,0.000176275,0.000176275
14,39.0988,1.13,2.82298,1.428,0.00881,1,0.3904,0.1929,1.03136,3.51399,1.48273,0.000188819,0.000188819,0.000188819
15,42.1326,0.98343,2.95058,1.38741,0.00881,1,0.35127,0.17574,1.00749,3.48182,1.46493,0.000201034,0.000201034,0.000201034
16,44.7441,1.17701,2.80233,1.4726,0.00875,1,0.3123,0.1684,1.05638,3.47458,1.50724,0.000212918,0.000212918,0.000212918
17,47.5003,0.93491,2.56579,1.30833,0.00861,1,0.28755,0.14756,1.14968,3.52571,1.57318,0.000224472,0.000224472,0.000224472
18,50.4882,0.77889,2.48981,1.22633,0.00861,1,0.28755,0.14756,1.14968,3.52571,1.57318,0.000235695,0.000235695,0.000235695
19,53.1634,0.85196,2.56467,1.30438,0.00854,1,0.29445,0.14204,1.19214,3.53239,1.58734,0.000246589,0.000246589,0.000246589
20,55.8324,0.88761,2.29219,1.29275,0.00854,1,0.29445,0.14204,1.19214,3.53239,1.58734,0.000257153,0.000257153,0.000257153
21,58.5427,1.02744,2.47824,1.41872,0.00872,1,0.26388,0.13926,1.11839,3.54834,1.56229,0.000267387,0.000267387,0.000267387
22,61.2926,0.70092,2.20912,1.15653,0.00872,1,0.26388,0.13926,1.11839,3.54834,1.56229,0.00027729,0.00027729,0.00027729
23,64.0943,0.71795,2.10834,1.13124,0.0086,1,0.26769,0.14897,1.12155,3.57675,1.58174,0.000286864,0.000286864,0.000286864
24,66.9246,0.74366,1.8824,1.25229,0.0086,1,0.26769,0.14897,1.12155,3.57675,1.58174,0.000296108,0.000296108,0.000296108
25,69.8534,0.92802,2.1497,1.32588,0.00847,1,0.26799,0.12615,1.1965,3.63196,1.63311,0.000305021,0.000305021,0.000305021
26,72.8262,0.87392,2.00523,1.19137,0.00847,1,0.26799,0.12615,1.1965,3.63196,1.63311,0.000313604,0.000313604,0.000313604
27,75.406,0.8563,2.33776,1.35574,0.00776,0.92308,0.27075,0.14333,1.33394,3.58605,1.73085,0.000321858,0.000321858,0.000321858
28,78.0307,0.90097,1.93992,1.25768,0.00776,0.92308,0.27075,0.14333,1.33394,3.58605,1.73085,0.000329781,0.000329781,0.000329781
29,80.6068,0.79828,1.72651,1.14745,0.00833,1,0.39065,0.20974,1.35903,3.57925,1.78317,0.000337374,0.000337374,0.000337374
30,83.1463,0.84367,2.00775,1.30127,0.00833,1,0.39065,0.20974,1.35903,3.57925,1.78317,0.000344637,0.000344637,0.000344637
31,85.8121,0.85367,1.93606,1.34533,0.00849,1,0.41934,0.25238,1.31981,3.53587,1.79755,0.00035157,0.00035157,0.00035157
32,88.551,0.894,1.769,1.18713,0.00849,1,0.41934,0.25238,1.31981,3.53587,1.79755,0.000358173,0.000358173,0.000358173
33,91.3329,0.68178,2.03653,1.15431,0.0074,0.84615,0.39976,0.25179,1.34028,3.56318,1.8253,0.000364446,0.000364446,0.000364446
34,94.1768,0.79423,1.49233,1.19435,0.0074,0.84615,0.39976,0.25179,1.34028,3.56318,1.8253,0.000370389,0.000370389,0.000370389
35,97.2534,0.93948,1.73334,1.29902,0.00786,0.84615,0.36482,0.21241,1.40285,3.55473,1.89636,0.000376002,0.000376002,0.000376002
36,100.042,0.69927,1.46079,1.15411,0.00786,0.84615,0.36482,0.21241,1.40285,3.55473,1.89636,0.000381285,0.000381285,0.000381285
37,102.969,0.87718,1.60648,1.223,0.00802,0.84615,0.35669,0.23087,1.41102,3.60921,1.89523,0.000386237,0.000386237,0.000386237
38,105.812,0.6816,1.63155,1.15541,0.00802,0.84615,0.35669,0.23087,1.41102,3.60921,1.89523,0.00039086,0.00039086,0.00039086
39,108.784,0.73752,1.49078,1.23933,0.00819,0.84615,0.32811,0.21854,1.46455,3.64508,1.95632,0.000395152,0.000395152,0.000395152
40,111.689,0.82923,1.40112,1.27295,0.00819,0.84615,0.32811,0.21854,1.46455,3.64508,1.95632,0.000399115,0.000399115,0.000399115
